Date,Open,High,Low,Close,Adj Close,Volume
2019-02-12,132.080002,134.300003,132.080002,134.160004,120.733688,6262300
2019-02-13,134.070007,134.979996,133.210007,134.449997,120.994652,7902200
2019-02-14,134.300003,134.820007,133.350006,134.309998,120.868668,3910400
2019-02-15,135.190002,136.410004,135.009995,136.380005,122.731537,6665000
2019-02-19,136.139999,136.380005,135.630005,135.690002,122.110565,5935500
2019-02-20,135.970001,136.729996,135.729996,136.350006,122.704529,6089800
2019-02-21,134.979996,135.789993,134.270004,135.419998,121.867569,6665500
2019-02-22,135.289993,136.639999,134.820007,136.600006,122.929497,5223900
2019-02-25,136.350006,137.490005,135.860001,136.199997,123.382446,6846600
2019-02-26,136.440002,136.960007,136.050003,136.110001,123.300888,5106900
2019-02-27,135.520004,136.250000,135.389999,135.869995,123.083488,4378100
2019-02-28,135.949997,137.949997,135.690002,136.639999,123.781013,10133200
2019-03-01,137.220001,138.610001,137.009995,138.350006,125.330116,5641600
2019-03-04,138.850006,139.410004,137.509995,138.479996,125.447891,8377700
2019-03-05,138.809998,139.139999,138.360001,138.770004,125.710571,6568900
2019-03-06,139.470001,139.649994,138.600006,139.089996,126.000443,6236900
2019-03-07,138.529999,139.119995,137.699997,138.240005,125.230446,6100400
2019-03-08,138.089996,139.300003,136.419998,138.059998,125.067390,7046700
2019-03-11,138.110001,139.029999,137.520004,138.559998,125.520340,6150400
2019-03-12,138.649994,140.000000,138.500000,139.179993,126.081978,5552900
2019-03-13,139.589996,139.839996,139.020004,139.410004,126.290359,6446900
2019-03-14,138.339996,138.800003,137.940002,138.020004,125.031166,8493600
2019-03-15,138.000000,138.259995,136.830002,137.600006,124.650711,11922500
2019-03-18,137.649994,137.779999,136.720001,137.169998,124.261154,7369600
2019-03-19,137.610001,138.820007,137.470001,138.440002,125.411674,5882500
2019-03-20,138.330002,138.509995,136.649994,137.289993,124.369865,5475700
2019-03-21,137.000000,138.779999,136.949997,138.100006,125.103622,5765100
2019-03-22,137.750000,138.389999,136.860001,136.910004,124.025642,6528800
2019-03-25,136.910004,137.009995,135.740005,136.610001,123.753860,4500300
2019-03-26,136.929993,139.270004,136.929993,138.570007,125.529381,4758600
2019-03-27,138.589996,139.479996,138.070007,138.699997,125.647171,6764900
2019-03-28,139.059998,139.460007,138.710007,138.880005,125.810249,4602100
2019-03-29,139.279999,139.880005,138.880005,139.789993,126.634575,7168400
2019-04-01,139.990005,140.289993,138.740005,138.979996,125.900826,5885200
2019-04-02,139.009995,139.009995,136.910004,137.710007,124.750359,5517800
2019-04-03,138.199997,138.240005,136.869995,137.169998,124.261154,5947000
2019-04-04,136.869995,137.009995,135.130005,135.570007,122.811729,5844600
2019-04-05,136.039993,136.580002,135.699997,136.179993,123.364326,4759700
2019-04-08,136.050003,136.509995,135.699997,136.139999,123.328064,4329600
2019-04-09,136.000000,136.259995,134.559998,135.570007,122.811729,5210300
2019-04-10,135.889999,136.130005,135.330002,135.580002,122.820786,4194100
2019-04-11,135.960007,136.179993,134.419998,135.210007,122.485626,4485200
2019-04-12,135.220001,136.350006,134.750000,135.979996,123.183144,5756800
2019-04-15,136.000000,136.789993,135.800003,136.520004,123.672333,5380900
2019-04-16,138.320007,140.699997,137.559998,138.020004,125.031166,10745700
2019-04-17,139.000000,140.149994,137.669998,138.520004,125.484131,9543700
2019-04-18,139.350006,140.240005,135.750000,137.520004,124.578247,10485300
2019-04-22,136.979996,138.490005,136.460007,137.830002,124.859077,4666500
2019-04-23,137.419998,140.850006,137.250000,139.899994,126.734230,5790500
2019-04-24,139.649994,140.139999,138.860001,139.199997,126.100082,5676300
2019-04-25,138.520004,139.770004,137.960007,139.649994,126.507767,5218100
2019-04-26,139.880005,140.520004,139.309998,140.389999,127.178139,4613600
2019-04-29,140.350006,140.429993,139.580002,139.839996,126.679886,4275200
2019-04-30,140.190002,141.449997,138.960007,141.199997,127.911903,6003700
2019-05-01,140.949997,142.350006,139.750000,141.949997,128.591309,6656300
