Date,CPI
2014-03-10,236.028
2014-03-11,236.028
2014-03-12,236.028
2014-03-13,236.028
2014-03-14,236.028
2014-03-15,236.028
2014-03-16,236.028
2014-03-17,236.028
2014-03-18,236.028
2014-03-19,236.028
2014-03-20,236.028
2014-03-21,236.028
2014-03-22,236.028
2014-03-23,236.028
2014-03-24,236.028
2014-03-25,236.028
2014-03-26,236.028
2014-03-27,236.028
2014-03-28,236.028
2014-03-29,236.028
2014-03-30,236.028
2014-03-31,236.028
2014-04-01,236.468
2014-04-02,236.468
2014-04-03,236.468
2014-04-04,236.468
2014-04-05,236.468
2014-04-06,236.468
2014-04-07,236.468
2014-04-08,236.468
2014-04-09,236.468
2014-04-10,236.468
2014-04-11,236.468
2014-04-12,236.468
2014-04-13,236.468
2014-04-14,236.468
2014-04-15,236.468
2014-04-16,236.468
2014-04-17,236.468
2014-04-18,236.468
2014-04-19,236.468
2014-04-20,236.468
2014-04-21,236.468
2014-04-22,236.468
2014-04-23,236.468
2014-04-24,236.468
2014-04-25,236.468
2014-04-26,236.468
2014-04-27,236.468
2014-04-28,236.468
2014-04-29,236.468
2014-04-30,236.468
2014-05-01,236.918
2014-05-02,236.918
2014-05-03,236.918
2014-05-04,236.918
2014-05-05,236.918
2014-05-06,236.918
2014-05-07,236.918
2014-05-08,236.918
2014-05-09,236.918
2014-05-10,236.918
2014-05-11,236.918
2014-05-12,236.918
2014-05-13,236.918
2014-05-14,236.918
2014-05-15,236.918
2014-05-16,236.918
2014-05-17,236.918
2014-05-18,236.918
2014-05-19,236.918
2014-05-20,236.918
2014-05-21,236.918
2014-05-22,236.918
2014-05-23,236.918
2014-05-24,236.918
2014-05-25,236.918
2014-05-26,236.918
2014-05-27,236.918
2014-05-28,236.918
2014-05-29,236.918
2014-05-30,236.918
2014-05-31,236.918
2014-06-01,237.231
2014-06-02,237.231
2014-06-03,237.231
2014-06-04,237.231
2014-06-05,237.231
2014-06-06,237.231
2014-06-07,237.231
2014-06-08,237.231
2014-06-09,237.231
2014-06-10,237.231
2014-06-11,237.231
2014-06-12,237.231
2014-06-13,237.231
2014-06-14,237.231
2014-06-15,237.231
2014-06-16,237.231
2014-06-17,237.231
2014-06-18,237.231
2014-06-19,237.231
2014-06-20,237.231
2014-06-21,237.231
2014-06-22,237.231
